Jornada,Orden,Negocio,Direccion,Giro,Prioridad,Maps
Jornada 1,1,(sin nombre publico),"Av. Tlahuac 4746, Granjas Estrella, Iztapalapa, Ciudad de Mexico, CDMX",Estetica / masaje,Alta,https://www.google.com/maps/search/?api=1&query=Av.%20Tlahuac%204746%2C%20Granjas%20Estrella%2C%20Iztapalapa%2C%20Ciudad%20de%20Mexico%2C%20CDMX
Jornada 1,2,Centro Comercial Lomas Estrella,"Av. Tlahuac 4409, Lomas Estrella, Iztapalapa, Ciudad de Mexico, CDMX",Plaza - barrer locales independientes,Alta,https://www.google.com/maps/search/?api=1&query=Av.%20Tlahuac%204409%2C%20Lomas%20Estrella%2C%20Iztapalapa%2C%20Ciudad%20de%20Mexico%2C%20CDMX
Jornada 1,3,Patio Lomas Estrella,"Av. Tlahuac 4409, Lomas Estrella, Iztapalapa, Ciudad de Mexico, CDMX",Restaurante,Media,https://www.google.com/maps/search/?api=1&query=Av.%20Tlahuac%204409%2C%20Lomas%20Estrella%2C%20Iztapalapa%2C%20Ciudad%20de%20Mexico%2C%20CDMX
Jornada 1,4,Studio Beauty Salon,"Av. Tlahuac 4344, Lomas Estrella 1ra Seccion, Iztapalapa, Ciudad de Mexico, CDMX",Salon de belleza,Alta,https://www.google.com/maps/search/?api=1&query=Av.%20Tlahuac%204344%2C%20Lomas%20Estrella%201ra%20Seccion%2C%20Iztapalapa%2C%20Ciudad%20de%20Mexico%2C%20CDMX
Jornada 1,5,Belmont American School,"Av. Tlahuac 4340, Lomas Estrella, Iztapalapa, Ciudad de Mexico, CDMX",Secundaria privada,Alta,https://www.google.com/maps/search/?api=1&query=Av.%20Tlahuac%204340%2C%20Lomas%20Estrella%2C%20Iztapalapa%2C%20Ciudad%20de%20Mexico%2C%20CDMX
Jornada 1,6,(sin nombre publico),"Av. Tlahuac 4337, Lomas Estrella 2da Seccion, Iztapalapa, Ciudad de Mexico, CDMX","Cejas, tinte, unas",Alta,https://www.google.com/maps/search/?api=1&query=Av.%20Tlahuac%204337%2C%20Lomas%20Estrella%202da%20Seccion%2C%20Iztapalapa%2C%20Ciudad%20de%20Mexico%2C%20CDMX
Jornada 1,7,(sin nombre publico),"Av. Tlahuac 4027, Santa Maria Tomatlan, Iztapalapa, Ciudad de Mexico, CDMX",Unas y spa de manos y pies,Alta,https://www.google.com/maps/search/?api=1&query=Av.%20Tlahuac%204027%2C%20Santa%20Maria%20Tomatlan%2C%20Iztapalapa%2C%20Ciudad%20de%20Mexico%2C%20CDMX
Jornada 1,8,(sin nombre publico),"Av. Tlahuac 4005, San Andres Tomatlan, Iztapalapa, Ciudad de Mexico, CDMX",Spa / masaje,Alta,https://www.google.com/maps/search/?api=1&query=Av.%20Tlahuac%204005%2C%20San%20Andres%20Tomatlan%2C%20Iztapalapa%2C%20Ciudad%20de%20Mexico%2C%20CDMX
Jornada 1,9,El Oyamel,"El Oyamel, Av. Tlahuac, Santa Maria Tomatlan, Iztapalapa, Ciudad de Mexico, CDMX",Restaurante,Media,https://www.google.com/maps/search/?api=1&query=El%20Oyamel%2C%20Av.%20Tlahuac%2C%20Santa%20Maria%20Tomatlan%2C%20Iztapalapa%2C%20Ciudad%20de%20Mexico%2C%20CDMX
Jornada 1,10,Consultorio Dental Militar,"Consultorio Dental Militar, Av. Tlahuac, Santa Maria Tomatlan, Iztapalapa, Ciudad de Mexico, CDMX",Clinica dental,Alta,https://www.google.com/maps/search/?api=1&query=Consultorio%20Dental%20Militar%2C%20Av.%20Tlahuac%2C%20Santa%20Maria%20Tomatlan%2C%20Iztapalapa%2C%20Ciudad%20de%20Mexico%2C%20CDMX
Jornada 1,11,(sin nombre publico),"Av. Tlahuac 3636, Culhuacan, Iztapalapa, Ciudad de Mexico, CDMX","Podologia, unas, masaje de pies",Alta,https://www.google.com/maps/search/?api=1&query=Av.%20Tlahuac%203636%2C%20Culhuacan%2C%20Iztapalapa%2C%20Ciudad%20de%20Mexico%2C%20CDMX
Jornada 1,12,MaG Dental Kids,"MaG Dental Kids, Av. Tlahuac 3632, Culhuacan, Iztapalapa, Ciudad de Mexico, CDMX",Dental infantil + ortodoncia,Alta,https://www.google.com/maps/search/?api=1&query=MaG%20Dental%20Kids%2C%20Av.%20Tlahuac%203632%2C%20Culhuacan%2C%20Iztapalapa%2C%20Ciudad%20de%20Mexico%2C%20CDMX
Jornada 1,13,(sin nombre publico),"Av. Tlahuac 3443, Los Reyes Culhuacan, Iztapalapa, Ciudad de Mexico, CDMX",Extensiones y tinte de pestanas,Alta,https://www.google.com/maps/search/?api=1&query=Av.%20Tlahuac%203443%2C%20Los%20Reyes%20Culhuacan%2C%20Iztapalapa%2C%20Ciudad%20de%20Mexico%2C%20CDMX
Jornada 1,14,(sin nombre publico),"Av. Tlahuac 3443, Los Reyes Culhuacan, Iztapalapa, Ciudad de Mexico, CDMX",Unas gel/acrilico + barberia,Alta,https://www.google.com/maps/search/?api=1&query=Av.%20Tlahuac%203443%2C%20Los%20Reyes%20Culhuacan%2C%20Iztapalapa%2C%20Ciudad%20de%20Mexico%2C%20CDMX
Jornada 1,15,Colegio Cervantes,"Colegio Cervantes, Av. Tlahuac 3431, Los Reyes Culhuacan, Iztapalapa, Ciudad de Mexico, CDMX",Primaria privada,Alta,https://www.google.com/maps/search/?api=1&query=Colegio%20Cervantes%2C%20Av.%20Tlahuac%203431%2C%20Los%20Reyes%20Culhuacan%2C%20Iztapalapa%2C%20Ciudad%20de%20Mexico%2C%20CDMX
Jornada 1,16,(sin nombre publico),"Av. Arneses 24, Los Reyes Culhuacan, Iztapalapa, Ciudad de Mexico, CDMX",Salon de unas,Media,https://www.google.com/maps/search/?api=1&query=Av.%20Arneses%2024%2C%20Los%20Reyes%20Culhuacan%2C%20Iztapalapa%2C%20Ciudad%20de%20Mexico%2C%20CDMX
Jornada 1,17,Barbería de Diana,"Callejon de la Manzana 4, Los Reyes Culhuacan, Iztapalapa, Ciudad de Mexico, CDMX",Barberia,Media,https://www.google.com/maps/search/?api=1&query=Callejon%20de%20la%20Manzana%204%2C%20Los%20Reyes%20Culhuacan%2C%20Iztapalapa%2C%20Ciudad%20de%20Mexico%2C%20CDMX
